"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"355791",355791,355791,503900,"20220412_123722_L15670","2022-04-12 12:38:07",-6.27756342197879,53.3460844917644,157140,8940,1800,480,600,60,"[-6.27756342197879,53.3460844917644]","[-6.27787477164675,53.3461440701998],[-6.2778492071388,53.3461389439913],[-6.27780521566146,53.3461302287464],[-6.27774947528659,53.3461196502037],[-6.27769384554513,53.3461090415084],[-6.27764304511055,53.3460995773015],[-6.27760058615005,53.3460914439472],[-6.27756342197879,53.3460844917644]",4.8,2.6,29.284,29.284,0.453,474.6525,20.7269326349472,165780,9450,1500,540,330,180,2022,4,12,12,38,7,"Tue","Apr","Tue",14.1525,58.4420788,0.5192286,"2022-04-12"
"355792",355792,355792,503901,"20220412_123722_L15670","2022-04-12 12:38:15",-6.27732999769472,53.3460396701795,156180,8400,2460,600,480,180,"[-6.27732999769472,53.3460396701795]","[-6.27752817790041,53.3460777698035],[-6.27749464452306,53.3460713083492],[-6.27746327400024,53.346065307577],[-6.27743318626505,53.3460598213948],[-6.27740580960475,53.3460547933646],[-6.27738124832662,53.3460498184733],[-6.2773558308505,53.3460447549037],[-6.27732999769472,53.3460396701795]",4.8,2.6,33.511,29.395,0.531,472.468,21.6336958292899,163200,8940,1830,600,450,180,2022,4,12,12,38,15,"Tue","Apr","Tue",14.1525,66.8779027,0.6086322,"2022-04-12"
"355793",355793,355793,503902,"20220412_123722_L15670","2022-04-12 12:38:23",-6.27712329791232,53.3459991184246,164460,7980,1740,900,360,120,"[-6.27712329791232,53.3459991184246]","[-6.27729949535167,53.3460337831616],[-6.27726976966256,53.3460280121893],[-6.27724248320851,53.3460226620151],[-6.27721688023309,53.3460175733378],[-6.27719094713678,53.3460124751445],[-6.27716583110912,53.3460076102301],[-6.27714315574289,53.3460031705887],[-6.27712329791232,53.3459991184246]",4.8,2.6,34.401,30.452,0.549,471.356,19.7087566022471,162180,9480,1470,720,300,120,2022,4,12,12,38,23,"Tue","Apr","Tue",14.1525,68.6540757,0.6292638,"2022-04-12"
"355794",355794,355794,503906,"20220412_123722_L15670","2022-04-12 12:38:55",-6.27706759252098,53.3459881618352,164340,10020,1680,600,600,120,"[-6.27706759252098,53.3459881618352]","[-6.27706786658143,53.3459882177024],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352]",61.91,2.6,31.954,32.955,0.4295,478.14,21.0675530939581,163500,9750,1860,570,450,180,2022,4,12,12,38,55,"Tue","Apr","Tue",123.375375,63.7705978,0.4922929,"2022-04-12"
"355795",355795,355795,503907,"20220412_123722_L15670","2022-04-12 12:39:03",-6.27706759252098,53.3459881618352,161100,9840,1800,720,600,180,"[-6.27706759252098,53.3459881618352]","[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352]",25.672,2.6,30.841,32.51,0.414,486.04,20.9262755022248,160920,9780,1920,780,390,150,2022,4,12,12,39,3,"Tue","Apr","Tue",54.0702,61.5493837,0.4745268,"2022-04-12"
"355796",355796,355796,503908,"20220412_123722_L15670","2022-04-12 12:39:11",-6.27706759252098,53.3459881618352,159600,8760,1800,660,420,240,"[-6.27706759252098,53.3459881618352]","[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352]",4.8,2.6,28.06,31.286,0.401,492.3375,21.7735164166921,158760,9270,1830,780,390,150,2022,4,12,12,39,11,"Tue","Apr","Tue",14.1525,55.999342,0.4596262,"2022-04-12"
"355797",355797,355797,503909,"20220412_123722_L15670","2022-04-12 12:39:19",-6.27704913731753,53.3459845198717,160260,10080,1320,840,180,120,"[-6.27704913731753,53.3459845198717]","[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706759252098,53.3459881618352],[-6.27706762324264,53.3459881676116],[-6.27706809593908,53.3459882565356],[-6.27706634862863,53.3459879063247],[-6.27706001722411,53.3459866472044],[-6.27704913731753,53.3459845198717]",4.8,6.8805,25.391,29.618,0.417,513.239,19.4318049867449,159390,9090,1620,660,360,120,2022,4,12,12,39,19,"Tue","Apr","Tue",22.33895625,50.6728187,0.4779654,"2022-04-12"
"355798",355798,355798,503910,"20220412_123722_L15670","2022-04-12 12:39:27",-6.27661314743397,53.3459022969058,153000,10500,1560,840,600,120,"[-6.27661314743397,53.3459022969058]","[-6.27703937398147,53.345982590684],[-6.2770286777622,53.3459804735919],[-6.2770063214908,53.3459760647892],[-6.27696656283396,53.3459681139631],[-6.27690414726013,53.3459555465974],[-6.27681871283388,53.3459387491403],[-6.27672112906209,53.3459206520106],[-6.27661314743397,53.3459022969058]",46.499,13.0955,24.056,26.392,1.084,594.608,20.8739963089114,156930,9000,1590,810,360,120,2022,4,12,12,39,27,"Tue","Apr","Tue",113.97448125,48.0085592,1.2424808,"2022-04-12"
"355799",355799,355799,503911,"20220412_123722_L15670","2022-04-12 12:39:35",-6.27612406055546,53.3458390055962,148320,7800,1560,480,360,60,"[-6.27612406055546,53.3458390055962]","[-6.27650095382661,53.345885223491],[-6.27640124028455,53.3458718141649],[-6.27631703805759,53.3458610462751],[-6.27624960123571,53.3458527431554],[-6.27619906994999,53.3458469246739],[-6.27616240775192,53.345843077449],[-6.2761368730291,53.3458403759878],[-6.27612406055546,53.3458390055962]",4.8,2.6,28.394,26.392,1.298,522.8995,18.0182392386665,147540,7890,1620,480,270,150,2022,4,12,12,39,35,"Tue","Apr","Tue",14.1525,56.6659058,1.4877676,"2022-04-12"
"355800",355800,355800,503912,"20220412_123722_L15670","2022-04-12 12:39:43",-6.27612390052091,53.3458389879334,143160,8460,900,420,240,120,"[-6.27612390052091,53.3458389879334]","[-6.27612392242403,53.3458389881478],[-6.27612392613722,53.3458389873529],[-6.27612390052091,53.3458389879334],[-6.27612390052091,53.3458389879334],[-6.27612390052091,53.3458389879334],[-6.27612390052091,53.3458389879334],[-6.27612390052091,53.3458389879334],[-6.27612390052091,53.3458389879334]",4.8,2.6,31.509,26.4475,0.971,481.658,17.4821693167394,145020,8070,1350,660,240,120,2022,4,12,12,39,43,"Tue","Apr","Tue",14.1525,62.8825113,1.1129602,"2022-04-12"
