"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"14944",14944,14944,24715,"20210602_082038_L15670","2021-06-02 08:15:55",-6.23684353174854,53.338202203228,65820,3780,1260,480,240,180,"[-6.23684353174854,53.338202203228]","[-6.2368239694518,53.338265311334],[-6.2368303691102,53.3382418791689],[-6.23683632175849,53.3382235046972],[-6.23684071541097,53.3382100834457],[-6.23684308451429,53.3382032400906],[-6.2368434201626,53.3382024716464],[-6.23684345974757,53.3382023902196],[-6.23684353174854,53.338202203228]",4.8,2.6,34.401,34.4565,0.341,438.131,13.3192268385644,65700,3570,840,480,240,330,2021,6,2,8,15,55,"Wed","Jun","Wed",14.1525,68.6540757,0.3908542,"2021-06-02"
"14945",14945,14945,24719,"20210602_082038_L15670","2021-06-02 08:16:27",-6.23491489269528,53.3373938989113,62520,4020,600,660,600,180,"[-6.23491489269528,53.3373938989113]","[-6.23495325113906,53.3374138918021],[-6.23492755972302,53.3374005212192],[-6.23491568474394,53.3373943233912],[-6.23491479237584,53.3373938414607],[-6.2349148560561,53.3373938719688],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,45.302,40.0185,0.4285,447.6325,12.8831973515261,66090,3870,750,540,420,180,2021,6,2,8,16,27,"Wed","Jun","Wed",14.1525,90.4092014,0.4911467,"2021-06-02"
"14946",14946,14946,24720,"20210602_082038_L15670","2021-06-02 08:16:35",-6.23491489269528,53.3373938989113,65640,3780,780,360,480,600,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,46.414,43.411,0.443,448.155,13.3568970254057,63510,3540,1260,390,330,300,2021,6,2,8,16,35,"Wed","Jun","Wed",14.1525,92.6284198,0.5077666,"2021-06-02"
"14947",14947,14947,24721,"20210602_082038_L15670","2021-06-02 08:16:43",-6.23491489269528,53.3373938989113,65520,3060,840,360,480,300,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,49.0285,46.081,0.4455,447.604,13.8251553427591,66930,3450,840,540,420,330,2021,6,2,8,16,43,"Wed","Jun","Wed",14.1525,97.84617745,0.5106321,"2021-06-02"
"14948",14948,14948,24722,"20210602_082038_L15670","2021-06-02 08:16:51",-6.23491489269528,53.3373938989113,62400,3300,1200,360,480,480,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,51.754,46.637,0.4035,442.638,13.2947034673932,64410,3540,1080,450,210,360,2021,6,2,8,16,51,"Wed","Jun","Wed",14.1525,103.2854578,0.4624917,"2021-06-02"
"14949",14949,14949,24723,"20210602_082038_L15670","2021-06-02 08:16:59",-6.23491489269528,53.3373938989113,64920,3300,840,480,120,300,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,52.199,51.086,0.4115,444.831,12.0207890545505,63780,3720,1080,600,240,210,2021,6,2,8,16,59,"Wed","Jun","Wed",14.1525,104.1735443,0.4716613,"2021-06-02"
"14950",14950,14950,24724,"20210602_082038_L15670","2021-06-02 08:17:07",-6.23491489269528,53.3373938989113,69180,4260,900,360,240,300,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,51.42,51.42,0.428,448.216,13.2337496046028,71100,3660,930,450,330,300,2021,6,2,8,17,7,"Wed","Jun","Wed",14.1525,102.618894,0.4905736,"2021-06-02"
"14951",14951,14951,24725,"20210602_082038_L15670","2021-06-02 08:17:15",-6.23491489269528,53.3373938989113,87900,7320,1860,540,480,600,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,49.418,51.309,0.4465,452.6645,15.9273914022203,73770,4260,1380,540,480,420,2021,6,2,8,17,15,"Wed","Jun","Wed",14.1525,98.6235026,0.5117783,"2021-06-02"
"14952",14952,14952,24726,"20210602_082038_L15670","2021-06-02 08:17:23",-6.23491489269528,53.3373938989113,75240,4680,720,540,420,300,"[-6.23491489269528,53.3373938989113]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113]",4.8,2.6,45.08,50.808,0.515,453.784,16.5642868477068,82350,5550,1230,540,240,420,2021,6,2,8,17,23,"Wed","Jun","Wed",14.1525,89.966156,0.590293,"2021-06-02"
"14953",14953,14953,24727,"20210602_082038_L15670","2021-06-02 08:17:31",-6.23491481065466,53.33739388583,69240,3300,660,600,420,60,"[-6.23491481065466,53.33739388583]","[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491489269528,53.3373938989113],[-6.23491488429687,53.3373938976044],[-6.23491481065466,53.33739388583]",4.8,2.6,45.969,47.193,0.507,450.443,15.0415373992465,68790,3570,870,420,360,330,2021,6,2,8,17,31,"Wed","Jun","Wed",14.1525,91.7403333,0.5811234,"2021-06-02"
