"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"136826",136826,136826,189668,"20210907_090108_L15670","2021-09-07 09:03:43",-6.22512709269694,53.3443671568954,99240,19140,1980,420,240,0,"[-6.22512709269694,53.3443671568954]","[-6.22461711601238,53.3442935523276],[-6.22461711601238,53.3442935523276],[-6.22461687334569,53.344293535518],[-6.22463539587001,53.3442951043374],[-6.22469978305551,53.3443013530539],[-6.22480840206657,53.3443168134801],[-6.22495219817823,53.3443377330112],[-6.22512709269694,53.3443671568954]",4.8,2.6,31.175,35.291,0.428,473.994,18.3896853475521,105000,18600,2280,450,210,120,2021,9,7,9,3,43,"Tue","Sep","Tue",14.1525,62.2159475,0.4905736,"2021-09-07"
"136827",136827,136827,189669,"20210907_090108_L15670","2021-09-07 09:03:51",-6.22691703155871,53.3446992740626,104820,17880,2700,300,300,240,"[-6.22691703155871,53.3446992740626]","[-6.22533017965731,53.3444036663965],[-6.22555384397925,53.3444455704777],[-6.22578537139985,53.3444896067325],[-6.22601750395239,53.3445340854639],[-6.22625107790936,53.3445783193098],[-6.22648285989209,53.3446191593439],[-6.22670591182805,53.3446587239829],[-6.22691703155871,53.3446992740626]",4.8,2.6,33.288,33.288,0.4135,474.766,18.1941756079187,106650,17730,2400,330,210,180,2021,9,7,9,3,51,"Tue","Sep","Tue",14.1525,66.4328616,0.4739537,"2021-09-07"
"136828",136828,136828,189672,"20210907_090108_L15670","2021-09-07 09:04:15",-6.22746940186788,53.3466947561241,104640,18660,2760,360,120,120,"[-6.22746940186788,53.3466947561241]","",50.559,2.6,39.963,35.179,0.401,465.129,15.5947551132979,101940,16500,1980,360,120,60,2021,9,7,9,4,15,"Tue","Sep","Tue",101.6665875,79.7541591,0.4596262,"2021-09-07"
"136829",136829,136829,189674,"20210907_090108_L15670","2021-09-07 09:04:31",-6.22710739543505,53.3480407588126,110160,16680,1620,540,120,120,"[-6.22710739543505,53.3480407588126]","",15.4825,6.907,32.009,39.184,0.45,484.008,18.5358438050155,110160,17520,2160,420,180,180,2021,9,7,9,4,31,"Tue","Sep","Tue",42.81991875,63.8803613,0.51579,"2021-09-07"
"136830",136830,136830,189675,"20210907_090108_L15670","2021-09-07 09:04:39",-6.22699745910941,53.3490754084187,100200,17700,1560,240,120,120,"[-6.22699745910941,53.3490754084187]","[-6.2270882121385,53.3481637059973],[-6.22707010169895,53.3482880629595],[-6.22705287616915,53.3484135450485],[-6.22703554980737,53.3485445900994],[-6.22701986383644,53.348676411819],[-6.22700703908238,53.3488082233571],[-6.2269993960493,53.3489403245382],[-6.22699745910941,53.3490754084187]",4.8,2.6,28.172,34.178,0.4315,484.735,17.2317242900238,102090,17160,2160,390,240,120,2021,9,7,9,4,39,"Tue","Sep","Tue",14.1525,56.2228604,0.4945853,"2021-09-07"
"136831",136831,136831,189677,"20210907_090108_L15670","2021-09-07 09:04:55",-6.22604561519756,53.351037337285,105060,15300,1800,540,180,60,"[-6.22604561519756,53.351037337285]","[-6.22661922993279,53.3502492196156],[-6.22651043080916,53.3503929151134],[-6.22640752674086,53.3505318354914],[-6.22631399623943,53.3506613824633],[-6.22623042665905,53.3507790701826],[-6.22615774859421,53.3508819512079],[-6.22609559158826,53.3509687041699],[-6.22604561519756,53.351037337285]",4.8,7.016,27.727,28.172,0.416,472.773,20.6484327284753,111960,17520,2400,870,360,270,2021,9,7,9,4,55,"Tue","Sep","Tue",22.5981,55.3347739,0.4768192,"2021-09-07"
"136832",136832,136832,189678,"20210907_090108_L15670","2021-09-07 09:05:03",-6.22597671125549,53.3511317311954,111120,15420,2040,420,120,120,"[-6.22597671125549,53.3511317311954]","[-6.22600928008856,53.3510870587725],[-6.22598682766975,53.3511177415039],[-6.22597677120242,53.3511316868487],[-6.22597672600721,53.3511317150033],[-6.22597670446284,53.3511317477136],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954]",100.825,9.3595,26.614,27.7825,0.54,489.9435,21.1393816993131,113100,15840,2220,690,300,360,2021,9,7,9,5,3,"Tue","Sep","Tue",210.72785625,53.1135598,0.618948,"2021-09-07"
"136833",136833,136833,189679,"20210907_090108_L15670","2021-09-07 09:05:11",-6.22597671125549,53.3511317311954,116160,18840,2220,720,420,540,"[-6.22597671125549,53.3511317311954]","[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954]",53.4755,16.4295,20.274,27.1145,0.686,487.1875,22.3697209857194,111090,17370,2190,720,420,390,2021,9,7,9,5,11,"Tue","Sep","Tue",133.6933125,40.4608218,0.7862932,"2021-09-07"
"136834",136834,136834,189682,"20210907_090108_L15670","2021-09-07 09:05:35",-6.22597671125549,53.3511317311954,107160,16260,1800,840,660,360,"[-6.22597671125549,53.3511317311954]","",4.8,20.497,17.9375,19.161,0.56,488.357,20.5537796862993,104820,15720,1980,660,540,300,2021,9,7,9,5,35,"Tue","Sep","Tue",48.3805125,35.79786875,0.641872,"2021-09-07"
"136835",136835,136835,189684,"20210907_090108_L15670","2021-09-07 09:05:51",-6.22597671125549,53.3511317311954,103740,16260,2040,480,360,300,"[-6.22597671125549,53.3511317311954]","[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954],[-6.22597671125549,53.3511317311954]",4.8,20.947,18.049,18.16,0.746,485.052,21.0075270978254,106680,14460,2160,480,420,330,2021,9,7,9,5,51,"Tue","Sep","Tue",49.2411375,36.0203893,0.8550652,"2021-09-07"
