"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"269327",269327,269327,379694,"20220111_101106_L15670","2022-01-11 11:17:13",-6.2624457705409,53.365261149044,18240,3780,2220,840,300,480,"[-6.2624457705409,53.365261149044]","[-6.26191593784446,53.3653879577075],[-6.2620258865311,53.3654073929795],[-6.26212568060106,53.3654320783323],[-6.26220264721654,53.3654476405221],[-6.26227394413435,53.365439468941],[-6.26233921168028,53.3654019080921],[-6.2623968198251,53.3653384588345],[-6.2624457705409,53.365261149044]",4.8,40.507,1.4,1.4,0.36,497.887,13.7847299215451,21720,5340,2190,870,300,360,2022,1,11,11,17,13,"Tue","Jan","Tue",86.6496375,2.79398,0.412632,"2022-01-11"
"269328",269328,269328,379695,"20220111_101106_L15670","2022-01-11 11:17:21",-6.26280426162092,53.364605449858,17880,5340,2880,540,480,240,"[-6.26280426162092,53.364605449858]","[-6.26249019747599,53.3651807229626],[-6.2625361857746,53.3650959485998],[-6.26258323983828,53.3650079543714],[-6.26263000159051,53.3649237544088],[-6.26267401325139,53.3648455158564],[-6.26271891181657,53.3647624204185],[-6.26276515016796,53.3646790795745],[-6.26280426162092,53.364605449858]",4.8,33.893,1.4,1.4,0.344,498.6835,12.4700376763699,17910,4680,2280,840,420,240,2022,1,11,11,17,21,"Tue","Jan","Tue",74.0003625,2.79398,0.3942928,"2022-01-11"
"269329",269329,269329,379696,"20220111_101106_L15670","2022-01-11 11:17:29",-6.26249573321234,53.3642848601584,15540,4860,1980,480,420,300,"[-6.26249573321234,53.3642848601584]","[-6.26283812813467,53.3645432776539],[-6.26286528412349,53.364492639252],[-6.26287644542257,53.3644527675058],[-6.26286369269474,53.3644174881025],[-6.2628132462733,53.3643818483834],[-6.2627211330644,53.3643495090055],[-6.26261011103411,53.3643171858464],[-6.26249573321234,53.3642848601584]",4.8,34.5145,1.4,1.4,0.344,494.329,11.5195096978382,17130,4050,2160,810,420,240,2022,1,11,11,17,29,"Tue","Jan","Tue",75.18898125,2.79398,0.3942928,"2022-01-11"
"269330",269330,269330,379697,"20220111_101106_L15670","2022-01-11 11:17:37",-6.26173943494033,53.3640899062446,17100,4740,2280,1140,480,300,"[-6.26173943494033,53.3640899062446]","[-6.2623765089115,53.3642516980172],[-6.26224654245343,53.3642157076722],[-6.26212597407159,53.3641814495599],[-6.26201711482581,53.3641500933039],[-6.26191980309722,53.3641231605922],[-6.26184269749084,53.36410211755],[-6.26178746677324,53.3640903661623],[-6.26173943494033,53.3640899062446]",4.8,31.164,1.4,1.4,0.324,492.173,12.3533381322815,17400,4770,2160,930,420,270,2022,1,11,11,17,37,"Tue","Jan","Tue",68.78115,2.79398,0.3713688,"2022-01-11"
"269331",269331,269331,379698,"20220111_101106_L15670","2022-01-11 11:17:45",-6.26134026247181,53.3645304764762,17340,4500,2400,1080,840,240,"[-6.26134026247181,53.3645304764762]","[-6.26168885459146,53.3641009742084],[-6.26163837497865,53.3641342647787],[-6.26158938654262,53.3641885275913],[-6.26154145585536,53.3642517635158],[-6.26149454839792,53.3643167502266],[-6.2614459162919,53.3643829245286],[-6.26139272955912,53.3644551456825],[-6.26134026247181,53.3645304764762]",4.8,26.378,1.4,1.4,0.3195,484.1025,13.2412256462709,17910,4590,2250,1080,540,240,2022,1,11,11,17,45,"Tue","Jan","Tue",59.627925,2.79398,0.3662109,"2022-01-11"
"269332",269332,269332,379699,"20220111_101106_L15670","2022-01-11 11:17:53",-6.26099681462596,53.3650481287243,18060,4800,2580,660,120,360,"[-6.26099681462596,53.3650481287243]","[-6.26129080300904,53.3646017629355],[-6.26124540551304,53.3646661932724],[-6.26120044799917,53.3647314770316],[-6.26115163204565,53.3648044318895],[-6.26110118067041,53.364881061514],[-6.26105729256734,53.3649494432879],[-6.26102188821045,53.3650065491847],[-6.26099681462596,53.3650481287243]",4.8,26.439,1.4,1.4,0.316,479.143,12.8992472879486,18450,4830,2250,900,360,360,2022,1,11,11,17,53,"Tue","Jan","Tue",59.7445875,2.79398,0.3621992,"2022-01-11"
"269333",269333,269333,379700,"20220111_101106_L15670","2022-01-11 11:18:01",-6.26055522902236,53.365066077462,19080,5820,2640,960,600,420,"[-6.26055522902236,53.365066077462]","[-6.26098137345634,53.3650734007809],[-6.26097410715678,53.3650852477288],[-6.26096564416359,53.3650951869097],[-6.26093892598968,53.3651107768058],[-6.26087817459089,53.3651235501598],[-6.26078720243884,53.3651174558787],[-6.26067787218647,53.3650954629561],[-6.26055522902236,53.365066077462]",4.8,27.837,2.81,1.4,0.3165,474.846,13.3956376467917,18450,4710,2610,840,600,300,2022,1,11,11,18,1,"Tue","Jan","Tue",62.4182625,5.607917,0.3627723,"2022-01-11"
"269334",269334,269334,379701,"20220111_101106_L15670","2022-01-11 11:18:09",-6.25943110312408,53.3647886871587,18060,5280,2580,540,360,480,"[-6.25943110312408,53.3647886871587]","[-6.26042876852365,53.3650350362782],[-6.26029783024359,53.3650031164734],[-6.26014958799216,53.3649659124758],[-6.26000034406102,53.3649284092738],[-6.25986271296858,53.3648934687381],[-6.25972806338302,53.3648599923385],[-6.25958343811574,53.3648251267447],[-6.25943110312408,53.3647886871587]",4.8,31.735,1.4,1.4,0.311,475.8315,14.8784027908692,17910,5040,2340,900,420,450,2022,1,11,11,18,9,"Tue","Jan","Tue",69.8731875,2.79398,0.3564682,"2022-01-11"
"269335",269335,269335,379702,"20220111_101106_L15670","2022-01-11 11:18:17",-6.25849403911976,53.3645409787311,19440,4860,2880,1260,360,420,"[-6.25849403911976,53.3645409787311]","[-6.25929515794864,53.3647554046392],[-6.25918320267255,53.3647263666426],[-6.25909427266167,53.3647031119589],[-6.25900685019625,53.3646803287305],[-6.25890274712001,53.3646540064863],[-6.2587704154109,53.3646175025891],[-6.25863070619934,53.3645782785193],[-6.25849403911976,53.3645409787311]",4.8,33.353,1.4,1.4,0.319,478.845,13.3561628451417,18240,4740,2370,930,540,240,2022,1,11,11,18,17,"Tue","Jan","Tue",72.9676125,2.79398,0.3656378,"2022-01-11"
"269336",269336,269336,379713,"20220111_101106_L15670","2022-01-11 11:19:45",-6.25780950928055,53.3643707418401,17820,5160,2280,1080,540,540,"[-6.25780950928055,53.3643707418401]","[-6.2584744697215,53.3645380825673],[-6.25834544002545,53.3645051486697],[-6.2582200001839,53.3644739527165],[-6.25810852897404,53.3644463896111],[-6.25800851390102,53.3644209798533],[-6.25792255034858,53.3643996782497],[-6.25785564869988,53.3643823547914],[-6.25780950928055,53.3643707418401]",4.8,41.519,1.4,1.4,0.313,484.224,12.5644294262525,18270,4860,2220,810,480,240,2022,1,11,11,19,45,"Tue","Jan","Tue",88.5850875,2.79398,0.3587606,"2022-01-11"
"269337",269337,269337,379717,"20220111_101106_L15670","2022-01-11 11:20:17",-6.25747814001445,53.3642929687896,29220,5340,1440,1020,480,180,"[-6.25747814001445,53.3642929687896]","[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896]",4.8,34.467,1.4,1.4,0.308,473.36,13.2456226249311,24030,4470,2280,1050,450,270,2022,1,11,11,20,17,"Tue","Jan","Tue",75.0981375,2.79398,0.3530296,"2022-01-11"
"269338",269338,269338,379718,"20220111_101106_L15670","2022-01-11 11:20:25",-6.25747814001445,53.3642929687896,20460,4320,2520,840,540,300,"[-6.25747814001445,53.3642929687896]","[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896]",4.8,32.4475,1.4,1.4,0.301,470.11,13.6061028899377,21150,4350,2400,930,360,330,2022,1,11,11,20,25,"Tue","Jan","Tue",71.23584375,2.79398,0.3450062,"2022-01-11"
"269339",269339,269339,379719,"20220111_101106_L15670","2022-01-11 11:20:33",-6.25747814001445,53.3642929687896,17700,5880,1500,1260,300,480,"[-6.25747814001445,53.3642929687896]","[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896]",4.8,35.421,1.4,1.4,0.303,470.119,14.7418840200078,20160,4890,2190,810,360,450,2022,1,11,11,20,33,"Tue","Jan","Tue",76.9226625,2.79398,0.3472986,"2022-01-11"
"269340",269340,269340,379720,"20220111_101106_L15670","2022-01-11 11:20:41",-6.2574768650113,53.364292733541,17280,4680,2040,840,540,360,"[-6.2574768650113,53.364292733541]","[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.25747814001445,53.3642929687896],[-6.2574781671927,53.3642929782443],[-6.2574768650113,53.364292733541]",4.8,32.358,1.4,1.4,0.2995,471.6635,13.1365654766203,17340,4710,2070,1050,480,270,2022,1,11,11,20,41,"Tue","Jan","Tue",71.064675,2.79398,0.3432869,"2022-01-11"
"269341",269341,269341,379721,"20220111_101106_L15670","2022-01-11 11:20:49",-6.25722724853373,53.3642750473939,16860,3960,2280,1080,360,240,"[-6.25722724853373,53.3642750473939]","[-6.25746874601303,53.3642912245658],[-6.25745231330567,53.3642880186996],[-6.2574328610099,53.3642847718493],[-6.25740010093716,53.3642795035843],[-6.25736149262254,53.3642733285905],[-6.25732943660902,53.3642691646265],[-6.25728757280923,53.3642668088571],[-6.25722724853373,53.3642750473939]",12.627,40.0215,1.4,1.4,0.3105,473.5405,13.697154902804,18540,4470,2310,870,360,330,2022,1,11,11,20,49,"Tue","Jan","Tue",100.69025625,2.79398,0.3558951,"2022-01-11"
