"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"373345",373345,373345,529584,"20220429_102425_L15670","2022-04-29 10:17:34",-6.2716349445722,53.3441480218432,92760,3660,1140,780,180,420,"[-6.2716349445722,53.3441480218432]","[-6.27160029122512,53.3441717543327],[-6.27160619250011,53.3441676943832],[-6.27162070715487,53.3441575315882],[-6.27163263651509,53.3441495575693],[-6.27163482858945,53.3441480891266],[-6.27163495616836,53.3441480136161],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432]",8.1585,33.368,1.4,1.4,0.2585,414.8345,16.7711849043426,96510,3660,1410,660,330,330,2022,4,29,10,17,34,"Fri","Apr","Fri",79.41943125,2.79398,0.2962927,"2022-04-29"
"373346",373346,373346,529585,"20220429_102425_L15670","2022-04-29 10:17:42",-6.2716349445722,53.3441480218432,96960,3060,1080,1020,360,300,"[-6.2716349445722,53.3441480218432]","[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432]",4.8,17.937,20.051,1.4,0.2515,414.829,16.793881981378,97200,3270,1050,750,330,240,2022,4,29,10,17,42,"Fri","Apr","Fri",43.4845125,40.0157807,0.2882693,"2022-04-29"
"373347",373347,373347,529587,"20220429_102425_L15670","2022-04-29 10:17:58",-6.2716349445722,53.3441480218432,95580,4320,1680,540,300,360,"[-6.2716349445722,53.3441480218432]","[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432],[-6.2716349445722,53.3441480218432]",4.8,2.6,41.8535,24.39,0.2565,414.8455,15.9977499391197,97080,3750,1200,540,330,240,2022,4,29,10,17,58,"Fri","Apr","Fri",14.1525,83.52702995,0.2940003,"2022-04-29"
"373348",373348,373348,529588,"20220429_102425_L15670","2022-04-29 10:18:06",-6.27163496373799,53.3441480088668,96840,2880,1320,900,600,420,"[-6.27163496373799,53.3441480088668]","[-6.2716349445722,53.3441480218432],[-6.27163494550841,53.3441480217154],[-6.2716349489447,53.344148018486],[-6.2716349489447,53.344148018486],[-6.2716349489447,53.344148018486],[-6.2716349489447,53.344148018486],[-6.27163494992407,53.3441480185158],[-6.27163496373799,53.3441480088668]",4.8,2.6,42.744,36.292,0.25,414.8475,15.6295693525732,96420,3570,1260,630,360,270,2022,4,29,10,18,6,"Fri","Apr","Fri",14.1525,85.3042008,0.28655,"2022-04-29"
"373349",373349,373349,529589,"20220429_102425_L15670","2022-04-29 10:18:14",-6.27163496373799,53.3441480088668,87720,3240,840,720,360,300,"[-6.27163496373799,53.3441480088668]","[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668]",4.8,2.6,43.188,42.521,0.244,417.599,16.5919624562057,94830,3180,1170,630,450,330,2022,4,29,10,18,14,"Fri","Apr","Fri",14.1525,86.1902916,0.2796728,"2022-04-29"
"373350",373350,373350,529590,"20220429_102425_L15670","2022-04-29 10:18:22",-6.27163496373799,53.3441480088668,95280,3540,900,660,420,180,"[-6.27163496373799,53.3441480088668]","[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668]",4.8,2.6,43.522,43.077,0.2515,421.9525,16.1522479437449,93840,3480,1230,660,420,240,2022,4,29,10,18,22,"Fri","Apr","Fri",14.1525,86.8568554,0.2882693,"2022-04-29"
"373351",373351,373351,529591,"20220429_102425_L15670","2022-04-29 10:18:30",-6.27163496373799,53.3441480088668,93900,4020,1140,660,720,240,"[-6.27163496373799,53.3441480088668]","[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668]",28.077,2.6,40.519,42.966,0.255,421.4205,17.4020411826821,95370,3510,1290,450,510,300,2022,4,29,10,18,30,"Fri","Apr","Fri",58.6697625,80.8637683,0.292281,"2022-04-29"
"373352",373352,373352,529595,"20220429_102425_L15670","2022-04-29 10:19:02",-6.27163496373799,53.3441480088668,97680,3900,900,600,480,360,"[-6.27163496373799,53.3441480088668]","[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668],[-6.27163496373799,53.3441480088668]",11.141,2.6,31.509,32.732,0.283,421.401,18.6466201304253,96660,3900,1140,600,390,420,2022,4,29,10,19,2,"Fri","Apr","Fri",26.2796625,62.8825113,0.3243746,"2022-04-29"
"373353",373353,373353,529596,"20220429_102425_L15670","2022-04-29 10:19:10",-6.27163496373799,53.3441480088668,99540,4380,1680,540,360,240,"[-6.27163496373799,53.3441480088668]","",4.8,5.943,34.401,32.732,0.298,421.406,16.1270392697303,99540,3660,1500,540,420,240,2022,4,29,10,19,10,"Fri","Apr","Fri",20.5459875,68.6540757,0.3415676,"2022-04-29"
"373354",373354,373354,529597,"20220429_102425_L15670","2022-04-29 10:19:18",-6.27163497511384,53.3441480035976,97260,2760,1320,600,540,480,"[-6.27163497511384,53.3441480035976]","[-6.27163496373799,53.3441480088668],[-6.27163496352216,53.3441480085894],[-6.27163497196053,53.344148002017],[-6.27163497511384,53.3441480035976],[-6.27163497511384,53.3441480035976],[-6.27163497511384,53.3441480035976],[-6.27163497511384,53.3441480035976],[-6.27163497511384,53.3441480035976]",4.8,2.6,36.181,33.845,0.3095,420.3365,18.7132479665079,97590,3390,1230,690,480,450,2022,4,29,10,19,18,"Fri","Apr","Fri",14.1525,72.2064217,0.3547489,"2022-04-29"
