"","X.2","X.1","X","run_id","timestamp_new","longitude","latitude","pm_ch1_perL","pm_ch2_perL","pm_ch3_perL","pm_ch4_perL","pm_ch5_perL","pm_ch6_perL","point_geojson","line_geojson","no_ppb_8sMedian","no2_ppb_8sMedian","o3_ppb_8sMedian","o3_ppb_32sMedian","co_ppm__8sMedian","co2_ppm_8sMedian","pm25_8sMedian","pnc_ch1_w8_rolling_median","pnc_ch2_w8_rolling_median","pnc_ch3_w8_rolling_median","pnc_ch4_w8_rolling_median","pnc_ch5_w8_rolling_median","pnc_ch6_w8_rolling_median","datetime_y","datetime_m","datetime_d","datetime_h","datetime_min","datetime_sec","datetime_wd","date_m","wday","NO2_8s","O3_8s","CO_8s","Date"
"257314",257314,257314,361230,"20211221_101132_L15670","2021-12-21 10:26:30",-6.25635794351888,53.3652873703803,21420,6000,2940,1800,960,840,"[-6.25635794351888,53.3652873703803]","[-6.25709480771702,53.3644225832946],[-6.25696603560693,53.3645759652619],[-6.25684134994417,53.364725594745],[-6.25672429925759,53.3648639245428],[-6.25661990007613,53.3649739230311],[-6.25652244831427,53.3650776428876],[-6.25643675471261,53.3651823125332],[-6.25635794351888,53.3652873703803]",23.1015,22.818,13.266,13.544,0.79,504.33,23.1145552396701,22410,5340,2700,1290,780,720,2021,12,21,10,26,30,"Tue","Dec","Tue",87.82104375,26.4749562,0.905498,"2021-12-21"
"257315",257315,257315,361231,"20211221_101132_L15670","2021-12-21 10:26:38",-6.25577405909519,53.3661537334532,20040,5520,2940,1680,1020,720,"[-6.25577405909519,53.3661537334532]","[-6.25627378255876,53.365399348389],[-6.25619381854095,53.3655064254257],[-6.25612359084625,53.3656067532032],[-6.25605421246609,53.3657110524076],[-6.25597670865121,53.3658271959423],[-6.25590562470799,53.3659381430682],[-6.25583977785714,53.3660438519141],[-6.25577405909519,53.3661537334532]",27.216,31.382,11.931,13.2105,0.7655,506.313,21.6312290318123,22110,5790,2640,1350,840,570,2021,12,21,10,26,38,"Tue","Dec","Tue",112.068675,23.8106967,0.8774161,"2021-12-21"
"257316",257316,257316,361234,"20211221_101132_L15670","2021-12-21 10:27:02",-6.25549462295664,53.3675505807341,16440,4140,2220,1440,720,360,"[-6.25549462295664,53.3675505807341]","[-6.25548758926334,53.3672334787309],[-6.25548745952679,53.3672557245372],[-6.2554882588554,53.3672908366368],[-6.25549020316987,53.3673326294531],[-6.25549307383517,53.3673820755868],[-6.25549605501048,53.3674314969631],[-6.2554978007673,53.367486693151],[-6.25549462295664,53.3675505807341]",271.337,65.016,9.261,10.596,0.591,519.246,17.0019662031638,18690,4140,2220,900,690,450,2021,12,21,10,27,2,"Tue","Dec","Tue",643.2751125,18.4821777,0.6774042,"2021-12-21"
"257317",257317,257317,361235,"20211221_101132_L15670","2021-12-21 10:27:10",-6.25532008181862,53.3680530468543,13860,3720,2280,1080,1020,540,"[-6.25532008181862,53.3680530468543]","[-6.25548336116003,53.367618738574],[-6.25546609125804,53.3676854710386],[-6.25544396127379,53.3677521821625],[-6.2554194660577,53.3678158870393],[-6.25539505614553,53.3678754164638],[-6.25537029779943,53.3679331209854],[-6.25534502557928,53.3679933786385],[-6.25532008181862,53.3680530468543]",28.867,43.964,9.929,10.151,0.597,528.039,18.2583035225951,15570,3780,2130,1140,660,570,2021,12,21,10,27,10,"Tue","Dec","Tue",139.2892875,19.8153053,0.6842814,"2021-12-21"
"257318",257318,257318,361236,"20211221_101132_L15670","2021-12-21 10:27:18",-6.25508704161037,53.3686201023468,18480,3780,2760,840,360,600,"[-6.25508704161037,53.3686201023468]","[-6.25529484950478,53.3681118566421],[-6.25526716276356,53.3681741219456],[-6.25523578718623,53.3682452950236],[-6.25520230160456,53.3683214364308],[-6.25517173915823,53.368394674171],[-6.25514483992051,53.3684662083314],[-6.25511912500455,53.3685393474265],[-6.25508704161037,53.3686201023468]",94.6185,33.444,11.152,10.2625,0.554,506.642,18.013710362956,18930,3780,2310,1050,660,600,2021,12,21,10,27,18,"Tue","Dec","Tue",244.91953125,22.2560464,0.6349948,"2021-12-21"
"257319",257319,257319,361237,"20211221_101132_L15670","2021-12-21 10:27:26",-6.25464722378053,53.3693670619715,20520,4680,1860,1320,840,60,"[-6.25464722378053,53.3693670619715]","[-6.25504654634627,53.3687034293025],[-6.255002585338,53.368790735109],[-6.25494964026599,53.368884040093],[-6.25489121652334,53.3689790761943],[-6.25483037262382,53.369075913625],[-6.25476980287333,53.3691711603684],[-6.25470827479598,53.3692691906817],[-6.25464722378053,53.3693670619715]",54.5575,30.188,10.374,10.1515,0.499,511.607,19.6624130554862,20310,3900,2040,1230,690,660,2021,12,21,10,27,26,"Tue","Dec","Tue",162.07576875,20.7033918,0.5719538,"2021-12-21"
"257320",257320,257320,361238,"20211221_101132_L15670","2021-12-21 10:27:34",-6.25419839931622,53.3700829381956,17880,4260,2400,900,240,420,"[-6.25419839931622,53.3700829381956]","[-6.25458877530695,53.3694616565629],[-6.25453292243423,53.3695520863939],[-6.25447751485202,53.3696424538768],[-6.25441878839888,53.3697343847626],[-6.2543633983927,53.3698205428912],[-6.25430885866221,53.3699066148011],[-6.25425382603,53.3699931024292],[-6.25419839931622,53.3700829381956]",4.8,27.3895,10.262,10.374,0.472,510.76,17.6506242517605,18330,4020,2250,1230,660,510,2021,12,21,10,27,34,"Tue","Dec","Tue",61.56241875,20.4798734,0.5410064,"2021-12-21"
"257321",257321,257321,361239,"20211221_101132_L15670","2021-12-21 10:27:42",-6.25374609908215,53.3708366074731,16560,4380,1980,840,1020,900,"[-6.25374609908215,53.3708366074731]","[-6.25414487588733,53.3701720110995],[-6.25408707785281,53.3702683651959],[-6.25402869148635,53.370366588425],[-6.25397208043067,53.3704638752429],[-6.25391489678725,53.3705587692438],[-6.25385941561463,53.3706518340903],[-6.25380352812128,53.3707433012453],[-6.25374609908215,53.3708366074731]",4.8,22.249,12.376,11.0965,0.426,502.7565,20.2933208089154,15840,4320,2310,900,870,720,2021,12,21,10,27,42,"Tue","Dec","Tue",51.7312125,24.6987832,0.4882812,"2021-12-21"
"257322",257322,257322,361240,"20211221_101132_L15670","2021-12-21 10:27:50",-6.25328603270324,53.3716013057709,13860,4560,2280,1200,600,360,"[-6.25328603270324,53.3716013057709]","[-6.25368993105608,53.3709272586493],[-6.25363512126993,53.3710193166889],[-6.25357625444108,53.371116945668],[-6.25351822925579,53.3712130199559],[-6.25346199841628,53.3713061890663],[-6.25340190913521,53.3714032096497],[-6.25334316180437,53.3715034051624],[-6.25328603270324,53.3716013057709]",29.0595,29.313,13.043,11.264,0.411,501.7805,17.7448212708548,15870,4560,2160,1110,660,540,2021,12,21,10,27,50,"Tue","Dec","Tue",111.63740625,26.0299151,0.4710882,"2021-12-21"
"257323",257323,257323,361241,"20211221_101132_L15670","2021-12-21 10:27:58",-6.25278105219527,53.3723159965246,18480,5520,2340,1320,720,300,"[-6.25278105219527,53.3723159965246]","[-6.2532292400955,53.3716970537288],[-6.25317160204405,53.3717881754748],[-6.25310937700581,53.3718760135296],[-6.25304380246737,53.3719644298721],[-6.25297757920722,53.372052602325],[-6.25291162852838,53.3721416290925],[-6.2528466999545,53.3722296076304],[-6.25278105219527,53.3723159965246]",4.8,19.9265,15.602,12.487,0.3905,502.9735,17.3615331378127,15900,4590,2310,1170,690,480,2021,12,21,10,27,58,"Tue","Dec","Tue",47.28943125,31.1369114,0.4475911,"2021-12-21"
"257324",257324,257324,361242,"20211221_101132_L15670","2021-12-21 10:28:06",-6.25229797440438,53.3730047388393,17460,4140,2400,1620,1080,540,"[-6.25229797440438,53.3730047388393]","[-6.25271596035104,53.3724020061437],[-6.25265146784114,53.3724879024392],[-6.25258592889727,53.372575635374],[-6.25252122934212,53.3726645659871],[-6.25245955188378,53.3727534767321],[-6.25240298766135,53.3728394310182],[-6.2523493839725,53.3729236229513],[-6.25229797440438,53.3730047388393]",4.8,17.527,17.27,14.489,0.391,498.7325,20.4736230140401,18240,4650,2250,1290,810,690,2021,12,21,10,28,6,"Tue","Dec","Tue",42.7003875,34.465739,0.4481642,"2021-12-21"
